id	pathway_id	pathway_name
0	hsa03030	DNA replication
1	hsa03420	Nucleotide excision repair
2	hsa03430	Mismatch repair
3	hsa03040	Spliceosome
4	hsa04010	MAPK signaling pathway
5	hsa04141	Protein processing in endoplasmic reticulum
6	hsa04144	Endocytosis
7	hsa04213	Longevity regulating pathway - multiple species
8	hsa04612	Antigen processing and presentation
9	hsa04915	Estrogen signaling pathway
10	hsa05134	Legionellosis
11	hsa05145	Toxoplasmosis
12	hsa05162	Measles
13	hsa05164	Influenza A
14	hsa04918	Thyroid hormone synthesis
15	hsa05200	Pathways in cancer
16	hsa05202	Transcriptional misregulation in cancer
17	hsa05216	Thyroid cancer
18	hsa04744	Phototransduction
19	hsa04080	Neuroactive ligand-receptor interaction
20	hsa04919	Thyroid hormone signaling pathway
21	hsa04060	Cytokine-cytokine receptor interaction
22	hsa04062	Chemokine signaling pathway
23	hsa04620	Toll-like receptor signaling pathway
24	hsa04621	NOD-like receptor signaling pathway
25	hsa04623	Cytosolic DNA-sensing pathway
26	hsa04668	TNF signaling pathway
27	hsa05020	Prion diseases
28	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
29	hsa05142	Chagas disease (American trypanosomiasis)
30	hsa05163	Human cytomegalovirus infection
31	hsa05164	Influenza A
32	hsa05168	Herpes simplex virus 1 infection
33	hsa05323	Rheumatoid arthritis
34	hsa00140	Steroid hormone biosynthesis
35	hsa00590	Arachidonic acid metabolism
36	hsa00591	Linoleic acid metabolism
37	hsa00980	Metabolism of xenobiotics by cytochrome P450
38	hsa00982	Drug metabolism - cytochrome P450
39	hsa00983	Drug metabolism - other enzymes
40	hsa01100	Metabolic pathways
41	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
42	hsa05204	Chemical carcinogenesis
43	hsa04360	Axon guidance
44	hsa00232	Caffeine metabolism
45	hsa00830	Retinol metabolism
46	hsa00980	Metabolism of xenobiotics by cytochrome P450
47	hsa00982	Drug metabolism - cytochrome P450
48	hsa00983	Drug metabolism - other enzymes
49	hsa01100	Metabolic pathways
50	hsa05204	Chemical carcinogenesis
51	hsa01521	EGFR tyrosine kinase inhibitor resistance
52	hsa04668	TNF signaling pathway
53	hsa04912	GnRH signaling pathway
54	hsa04928	Parathyroid hormone synthesis, secretion and action
55	hsa04010	MAPK signaling pathway
56	hsa04064	NF-kappa B signaling pathway
57	hsa04071	Sphingolipid signaling pathway
58	hsa04210	Apoptosis
59	hsa04217	Necroptosis
60	hsa04622	RIG-I-like receptor signaling pathway
61	hsa04657	IL-17 signaling pathway
62	hsa04668	TNF signaling pathway
63	hsa04920	Adipocytokine signaling pathway
64	hsa05152	Tuberculosis
65	hsa05160	Hepatitis C
66	hsa05162	Measles
67	hsa05163	Human cytomegalovirus infection
68	hsa05165	Human papillomavirus infection
69	hsa05167	Kaposi sarcoma-associated herpesvirus infection
70	hsa05168	Herpes simplex virus 1 infection
71	hsa05169	Epstein-Barr virus infection
72	hsa05170	Human immunodeficiency virus 1 infection
73	hsa05203	Viral carcinogenesis
74	hsa00564	Glycerophospholipid metabolism
75	hsa00565	Ether lipid metabolism
76	hsa01100	Metabolic pathways
77	hsa04014	Ras signaling pathway
78	hsa04024	cAMP signaling pathway
79	hsa04071	Sphingolipid signaling pathway
80	hsa04072	Phospholipase D signaling pathway
81	hsa04144	Endocytosis
82	hsa04666	Fc gamma R-mediated phagocytosis
83	hsa04724	Glutamatergic synapse
84	hsa04912	GnRH signaling pathway
85	hsa04928	Parathyroid hormone synthesis, secretion and action
86	hsa05200	Pathways in cancer
87	hsa05212	Pancreatic cancer
88	hsa05231	Choline metabolism in cancer
89	hsa01521	EGFR tyrosine kinase inhibitor resistance
90	hsa01522	Endocrine resistance
91	hsa01524	Platinum drug resistance
92	hsa04012	ErbB signaling pathway
93	hsa04014	Ras signaling pathway
94	hsa04022	cGMP-PKG signaling pathway
95	hsa04024	cAMP signaling pathway
96	hsa04062	Chemokine signaling pathway
97	hsa04140	Autophagy - animal
98	hsa04151	PI3K-Akt signaling pathway
99	hsa04210	Apoptosis
100	hsa04370	VEGF signaling pathway
101	hsa04510	Focal adhesion
102	hsa04722	Neurotrophin signaling pathway
103	hsa04910	Insulin signaling pathway
104	hsa04919	Thyroid hormone signaling pathway
105	hsa05010	Alzheimer disease
106	hsa05014	Amyotrophic lateral sclerosis (ALS)
107	hsa05145	Toxoplasmosis
108	hsa05152	Tuberculosis
109	hsa05160	Hepatitis C
110	hsa05161	Hepatitis B
111	hsa05162	Measles
112	hsa05165	Human papillomavirus infection
113	hsa05168	Herpes simplex virus 1 infection
114	hsa05170	Human immunodeficiency virus 1 infection
115	hsa05200	Pathways in cancer
116	hsa05203	Viral carcinogenesis
117	hsa05210	Colorectal cancer
118	hsa05211	Renal cell carcinoma
119	hsa05212	Pancreatic cancer
120	hsa05213	Endometrial cancer
121	hsa05215	Prostate cancer
122	hsa05218	Melanoma
123	hsa05220	Chronic myeloid leukemia
124	hsa05221	Acute myeloid leukemia
125	hsa05223	Non-small cell lung cancer
126	hsa05225	Hepatocellular carcinoma
127	hsa03040	Spliceosome
128	hsa03010	Ribosome
129	hsa03010	Ribosome
130	hsa03013	RNA transport
131	hsa05416	Viral myocarditis
132	hsa03013	RNA transport
133	hsa05012	Parkinson disease
134	hsa03060	Protein export
135	hsa03010	Ribosome
136	hsa04144	Endocytosis
137	hsa03010	Ribosome
138	hsa03010	Ribosome
139	hsa03040	Spliceosome
140	hsa05100	Bacterial invasion of epithelial cells
141	hsa03040	Spliceosome
142	hsa03010	Ribosome
143	hsa03010	Ribosome
144	hsa03010	Ribosome
145	hsa04360	Axon guidance
146	hsa04666	Fc gamma R-mediated phagocytosis
147	hsa04810	Regulation of actin cytoskeleton
148	hsa05133	Pertussis
149	hsa05170	Human immunodeficiency virus 1 infection
150	hsa03010	Ribosome
151	hsa03013	RNA transport
152	hsa03010	Ribosome
153	hsa03010	Ribosome
154	hsa03010	Ribosome
155	hsa00970	Aminoacyl-tRNA biosynthesis
156	hsa03010	Ribosome
157	hsa03010	Ribosome
158	hsa03010	Ribosome
159	hsa03010	Ribosome
160	hsa03010	Ribosome
161	hsa03050	Proteasome
162	hsa03040	Spliceosome
163	hsa05168	Herpes simplex virus 1 infection
164	hsa00510	N-Glycan biosynthesis
165	hsa01100	Metabolic pathways
166	hsa04141	Protein processing in endoplasmic reticulum
167	hsa03040	Spliceosome
168	hsa03022	Basal transcription factors
169	hsa03018	RNA degradation
170	hsa03040	Spliceosome
171	hsa04014	Ras signaling pathway
172	hsa04015	Rap1 signaling pathway
173	hsa04022	cGMP-PKG signaling pathway
174	hsa04024	cAMP signaling pathway
175	hsa04062	Chemokine signaling pathway
176	hsa04071	Sphingolipid signaling pathway
177	hsa04072	Phospholipase D signaling pathway
178	hsa04144	Endocytosis
179	hsa04150	mTOR signaling pathway
180	hsa04270	Vascular smooth muscle contraction
181	hsa04310	Wnt signaling pathway
182	hsa04350	TGF-beta signaling pathway
183	hsa04360	Axon guidance
184	hsa04510	Focal adhesion
185	hsa04520	Adherens junction
186	hsa04530	Tight junction
187	hsa04611	Platelet activation
188	hsa04621	NOD-like receptor signaling pathway
189	hsa04625	C-type lectin receptor signaling pathway
190	hsa04660	T cell receptor signaling pathway
191	hsa04670	Leukocyte transendothelial migration
192	hsa04722	Neurotrophin signaling pathway
193	hsa04810	Regulation of actin cytoskeleton
194	hsa04921	Oxytocin signaling pathway
195	hsa04928	Parathyroid hormone synthesis, secretion and action
196	hsa04972	Pancreatic secretion
197	hsa05100	Bacterial invasion of epithelial cells
198	hsa05130	Pathogenic Escherichia coli infection
199	hsa05133	Pertussis
200	hsa05152	Tuberculosis
201	hsa05163	Human cytomegalovirus infection
202	hsa05200	Pathways in cancer
203	hsa05203	Viral carcinogenesis
204	hsa05205	Proteoglycans in cancer
205	hsa05206	MicroRNAs in cancer
206	hsa05210	Colorectal cancer
207	hsa05418	Fluid shear stress and atherosclerosis
208	hsa03013	RNA transport
209	hsa03015	mRNA surveillance pathway
210	hsa03010	Ribosome
211	hsa03010	Ribosome
212	hsa04141	Protein processing in endoplasmic reticulum
213	hsa04151	PI3K-Akt signaling pathway
214	hsa04217	Necroptosis
215	hsa04612	Antigen processing and presentation
216	hsa04621	NOD-like receptor signaling pathway
217	hsa04657	IL-17 signaling pathway
218	hsa04659	Th17 cell differentiation
219	hsa04914	Progesterone-mediated oocyte maturation
220	hsa04915	Estrogen signaling pathway
221	hsa05200	Pathways in cancer
222	hsa05215	Prostate cancer
223	hsa05418	Fluid shear stress and atherosclerosis
224	hsa04072	Phospholipase D signaling pathway
225	hsa04144	Endocytosis
226	hsa05110	Vibrio cholerae infection
227	hsa05134	Legionellosis
228	hsa04144	Endocytosis
229	hsa04141	Protein processing in endoplasmic reticulum
230	hsa04145	Phagosome
231	hsa04612	Antigen processing and presentation
232	hsa04918	Thyroid hormone synthesis
233	hsa05166	Human T-cell leukemia virus 1 infection
234	hsa03040	Spliceosome
235	hsa03040	Spliceosome
236	hsa03010	Ribosome
237	hsa00230	Purine metabolism
238	hsa01100	Metabolic pathways
239	hsa00190	Oxidative phosphorylation
240	hsa01100	Metabolic pathways
241	hsa04142	Lysosome
242	hsa04145	Phagosome
243	hsa04721	Synaptic vesicle cycle
244	hsa05110	Vibrio cholerae infection
245	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
246	hsa05152	Tuberculosis
247	hsa05165	Human papillomavirus infection
248	hsa05323	Rheumatoid arthritis
249	hsa00970	Aminoacyl-tRNA biosynthesis
250	hsa05034	Alcoholism
251	hsa05202	Transcriptional misregulation in cancer
252	hsa05322	Systemic lupus erythematosus
253	hsa01521	EGFR tyrosine kinase inhibitor resistance
254	hsa03010	Ribosome
255	hsa04066	HIF-1 signaling pathway
256	hsa04150	mTOR signaling pathway
257	hsa04151	PI3K-Akt signaling pathway
258	hsa04371	Apelin signaling pathway
259	hsa04714	Thermogenesis
260	hsa04910	Insulin signaling pathway
