pathway	gene1 gene2
FoxO signaling pathway	TGFBR1	SMAD2
FoxO signaling pathway	SMAD4	SMAD2
FoxO signaling pathway	C00008	STK11
FoxO signaling pathway	C00020	STK11
FoxO signaling pathway	STK11	PRKAG2
FoxO signaling pathway	STK11	PRKAG2
FoxO signaling pathway	STK11	FOXO6...
FoxO signaling pathway	STK11	FOXO6...
FoxO signaling pathway	TGFB1	TGFBR1
FoxO signaling pathway	PRKAG2	FOXO6...
FoxO signaling pathway	PRKAG2	FOXO6...
FoxO signaling pathway	IGF1	IGF1R
FoxO signaling pathway	INS	INSR
FoxO signaling pathway	IGF1R	IRS1
FoxO signaling pathway	INSR	IRS1
FoxO signaling pathway	IRS1	PIK3CA
FoxO signaling pathway	PIK3CA	C05981
FoxO signaling pathway	C05981	PDPK1
FoxO signaling pathway	PDPK1	CHUK
FoxO signaling pathway	PDPK1	CHUK
FoxO signaling pathway	PDPK1	AKT3
FoxO signaling pathway	PDPK1	AKT3
FoxO signaling pathway	PDPK1	C8orf44-SGK3...
FoxO signaling pathway	PDPK1	C8orf44-SGK3...
FoxO signaling pathway	AKT3	CHUK
FoxO signaling pathway	AKT3	CHUK
FoxO signaling pathway	CHUK	FOXO6...
FoxO signaling pathway	CHUK	FOXO6...
FoxO signaling pathway	AKT3	FOXO6...
FoxO signaling pathway	AKT3	FOXO6...
FoxO signaling pathway	C8orf44-SGK3...	FOXO6...
FoxO signaling pathway	C8orf44-SGK3...	FOXO6...
FoxO signaling pathway	NLK	FOXO6...
FoxO signaling pathway	NLK	FOXO6...
FoxO signaling pathway	CDK2	FOXO6...
FoxO signaling pathway	CDK2	FOXO6...
FoxO signaling pathway	TPTEP2-CSNK1E	FOXO6...
FoxO signaling pathway	TPTEP2-CSNK1E	FOXO6...
FoxO signaling pathway	MAPK14	FOXO6...
FoxO signaling pathway	MAPK14	FOXO6...
FoxO signaling pathway	C00025	GRM1
FoxO signaling pathway	EGF	EGFR
FoxO signaling pathway	EGFR	GRB2
FoxO signaling pathway	GRB2	SOS1
FoxO signaling pathway	SOS1	HRAS
FoxO signaling pathway	HRAS	ARAF
FoxO signaling pathway	ARAF	MAP2K1
FoxO signaling pathway	ARAF	MAP2K1
FoxO signaling pathway	MAP2K1	MAPK1
FoxO signaling pathway	MAP2K1	MAPK1
FoxO signaling pathway	MAPK8	FOXO6...
FoxO signaling pathway	MAPK8	FOXO6...
FoxO signaling pathway	STK4	FOXO6...
FoxO signaling pathway	STK4	FOXO6...
FoxO signaling pathway	CHUK	PTEN
FoxO signaling pathway	PTEN	C05981
FoxO signaling pathway	PTEN	C05981
FoxO signaling pathway	FOXO6...	CCNB3...
FoxO signaling pathway	FOXO6...	CCND1
FoxO signaling pathway	FOXO6...	CCNG2
FoxO signaling pathway	FOXO6...	CDKN2B
FoxO signaling pathway	FOXO6...	CDKN2D
FoxO signaling pathway	FOXO6...	CDKN1A
FoxO signaling pathway	FOXO6...	CDKN1B
FoxO signaling pathway	FOXO6...	RBL2
FoxO signaling pathway	FOXO6...	PLK4
FoxO signaling pathway	FOXO6...	GADD45G
FoxO signaling pathway	FOXO6...	FASLG
FoxO signaling pathway	FOXO6...	BCL2L11
FoxO signaling pathway	FOXO6...	TNFSF10
FoxO signaling pathway	FOXO6...	BCL6
FoxO signaling pathway	FOXO6...	BNIP3
FoxO signaling pathway	FOXO6...	ATG12
FoxO signaling pathway	FOXO6...	GABARAP
FoxO signaling pathway	FOXO6...	CAT
FoxO signaling pathway	FOXO6...	SOD2
FoxO signaling pathway	FOXO6...	GADD45G
FoxO signaling pathway	FOXO6...	ATM
FoxO signaling pathway	FOXO6...	PCK1
FoxO signaling pathway	FOXO6...	G6PC
FoxO signaling pathway	FOXO6...	BCL6
FoxO signaling pathway	FOXO6...	IL7R
FoxO signaling pathway	FOXO6...	KLF2
FoxO signaling pathway	FOXO6...	S1PR1
FoxO signaling pathway	FOXO6...	RAG1
FoxO signaling pathway	FOXO6...	FBXO32
FoxO signaling pathway	IL6	STAT3
FoxO signaling pathway	IL6	STAT3
FoxO signaling pathway	IL10	STAT3
FoxO signaling pathway	IL10	STAT3
FoxO signaling pathway	STAT3	FOXO6...
FoxO signaling pathway	PRMT1	FOXO6...
FoxO signaling pathway	PRMT1	FOXO6...
FoxO signaling pathway	SETD7	FOXO6...
FoxO signaling pathway	SETD7	FOXO6...
FoxO signaling pathway	GRM1	HOMER3
FoxO signaling pathway	GRM1	AGAP2
FoxO signaling pathway	HOMER3	PIK3CA
FoxO signaling pathway	HOMER3	PIK3CA
FoxO signaling pathway	AGAP2	PIK3CA
FoxO signaling pathway	AGAP2	PIK3CA
FoxO signaling pathway	MAPK1	FOXO6...
FoxO signaling pathway	MAPK1	FOXO6...
FoxO signaling pathway	USP7	FOXO6...
Cell cycle	GSK3B	CCND1
Cell cycle	GSK3B	CCND1
Cell cycle	TP53	CDKN1A
Cell cycle	TP53	GADD45G
Cell cycle	TP53	SFN
Cell cycle	GADD45G	PCNA
Cell cycle	MDM2	RB1
Cell cycle	MDM2	TP53
Cell cycle	CREBBP	TP53
Cell cycle	PRKDC	TP53
Cell cycle	PRKDC	TP53
Cell cycle	CHEK1	TP53
Cell cycle	CHEK1	TP53
Cell cycle	CHEK1	CDC25A
Cell cycle	CHEK1	CDC25A
Cell cycle	CDC25A	CDK4
Cell cycle	CDC25A	CDK4
Cell cycle	CDC25A	CDK2
Cell cycle	CDC25A	CDK2
Cell cycle	CDC25A	CDK2
Cell cycle	CDC25A	CDK2
Cell cycle	CDC25A	CDK1
Cell cycle	CDC25A	CDK1
Cell cycle	CHEK1	CDC25B...
Cell cycle	CHEK1	CDC25B...
Cell cycle	PTTG2...	ESPL1
Cell cycle	YWHAQ	CDC25B...
Cell cycle	WEE2	CDK1
Cell cycle	WEE2	CDK1
Cell cycle	PKMYT1	CDK1
Cell cycle	PKMYT1	CDK1
Cell cycle	WEE2	CDK1
Cell cycle	WEE2	CDK1
Cell cycle	PKMYT1	CDK1
Cell cycle	PKMYT1	CDK1
Cell cycle	PLK1	CDC25B...
Cell cycle	PLK1	CDC25B...
Cell cycle	PLK1	PKMYT1
Cell cycle	PLK1	PKMYT1
Cell cycle	CDC25B...	CDK1
Cell cycle	CDC25B...	CDK1
Cell cycle	SFN	CCNB3...
Cell cycle	GADD45G	CCNB3...
Cell cycle	CDKN2A	MDM2
Cell cycle	ATM	TP53
Cell cycle	ATM	TP53
Cell cycle	ATM	CHEK1
Cell cycle	ATM	CHEK1
Cell cycle	TTK	MAD1L1
Cell cycle	TTK	MAD1L1
Cell cycle	MAD1L1	MAD2L2
Cell cycle	BUB1	BUB3
Cell cycle	MYC	ZBTB17
Cell cycle	ZBTB17	CDKN2B
Cell cycle	TGFB1	SMAD2
Cell cycle	TGFB1	SMAD2
Cell cycle	ABL1	RB1
Cell cycle	HDAC1	RB1
Oocyte meiosis	MOS	MAP2K1
Oocyte meiosis	MOS	MAP2K1
Oocyte meiosis	MAP2K1	MAPK1
Oocyte meiosis	MAP2K1	MAPK1
Oocyte meiosis	MAPK1	RPS6KA6
Oocyte meiosis	MAPK1	RPS6KA6
Oocyte meiosis	RPS6KA6	BUB1
Oocyte meiosis	RPS6KA6	BUB1
Oocyte meiosis	RPS6KA6	PKMYT1
Oocyte meiosis	RPS6KA6	PKMYT1
Oocyte meiosis	PKMYT1	CDK1
Oocyte meiosis	PKMYT1	CDK1
Oocyte meiosis	BUB1	MAD2L2
Oocyte meiosis	INS	IGF1R
Oocyte meiosis	IGF1	IGF1R
Oocyte meiosis	ADCY1	PRKACA
Oocyte meiosis	PGR	PRKACA
Oocyte meiosis	AR	PRKACA
Oocyte meiosis	IGF1R	PRKACA
Oocyte meiosis	AURKA	CPEB2
Oocyte meiosis	AURKA	CPEB2
Oocyte meiosis	AURKA	CPEB2
Oocyte meiosis	AURKA	CPEB2
Oocyte meiosis	PLK1	CPEB2
Oocyte meiosis	PLK1	CPEB2
Oocyte meiosis	CDK2	CDC25C
Oocyte meiosis	CDK2	CDC25C
Oocyte meiosis	MAPK12	CDC25C
Oocyte meiosis	MAPK12	CDC25C
Oocyte meiosis	PPP1CA	CDC25C
Oocyte meiosis	PPP1CA	CDC25C
Oocyte meiosis	PLK1	CDC25C
Oocyte meiosis	PLK1	CDC25C
Oocyte meiosis	SLK	PLK1
Oocyte meiosis	SLK	PLK1
Oocyte meiosis	PRKACA	CDC25C
Oocyte meiosis	PRKACA	CDC25C
Oocyte meiosis	FBXO5	CDC20
Oocyte meiosis	PTTG2...	ESPL1
Oocyte meiosis	ESPL1	REC8
Oocyte meiosis	FBXO43	CDC20
Oocyte meiosis	MAD2L2	ANAPC10
Oocyte meiosis	MAD2L2	ANAPC10
Oocyte meiosis	PLCZ1	ITPR1
Oocyte meiosis	ITPR1	CALML6
Oocyte meiosis	CALML6	PPP3CA
Oocyte meiosis	CALML6	CAMK2A
Oocyte meiosis	PPP2CA	FBXO43
Oocyte meiosis	PPP2CA	FBXO43
Oocyte meiosis	CAMK2A	FBXO43
Oocyte meiosis	CAMK2A	FBXO43
Oocyte meiosis	PLK1	FBXO43
Oocyte meiosis	PLK1	FBXO43
Oocyte meiosis	CAMK2A	CDC25C
Oocyte meiosis	CAMK2A	CDC25C
Oocyte meiosis	FBXO43	CDC20
Oocyte meiosis	BUB1	SGO1
Oocyte meiosis	PTTG2...	ESPL1
Oocyte meiosis	ESPL1	REC8
Oocyte meiosis	YWHAQ	CDC25C
Oocyte meiosis	CDC25C	CDK1
