	pathway	gene1	gene2
0	hsa04010	GNA12	RASA2
1	hsa04010	RAPGEF2	RRAS2
2	hsa04010	RASGRF1	RRAS2
3	hsa04010	RASGRP1	RRAS2
4	hsa04010	RAP1A	BRAF
5	hsa04010	TNF	TNFRSF1A
6	hsa04010	IL1A	IL1R1
7	hsa04010	FASLG	FAS
8	hsa04010	TGFB1	TGFBR1
9	hsa04010	FAS	DAXX
10	hsa04010	TGFBR1	DAXX
11	hsa04010	GRB2	CSF1R
12	hsa04010	SOS1	GRB2
13	hsa04010	TAB2	TRAF6
14	hsa04010	ECSIT	TRAF6
15	hsa04010	SRF	ELK1
16	hsa04010	SRF	ELK4
17	hsa04010	LAMTOR3	MAP2K1
18	hsa04010	LAMTOR3	MAP2K2
19	hsa04010	MAPK1	LAMTOR3
20	hsa04010	MAPK8IP2	MAPK8
21	hsa04010	MAPK8IP2	MAP2K7
22	hsa04010	MAPK8IP2	MAP3K11
23	hsa04010	MAPK8IP2	MAP4K1
24	hsa04010	MAPK8	MAPK8IP3
25	hsa04010	MAP2K4	MAPK8IP3
26	hsa04010	MAP2K7	MAPK8IP3
27	hsa04010	MAPK8IP3	MAP3K1
28	hsa04010	MAP3K11	MAPK8IP3
29	hsa04010	MAPK8	CRK
30	hsa04010	MAP2K4	CRK
31	hsa04010	MAP2K4	FLNA
32	hsa04010	MAP2K4	ARRB1
33	hsa04010	PRKACA	RAP1A
34	hsa04010	PRKCA	RRAS2
35	hsa04010	PRKCA	RAF1
36	hsa04010	SOS1	RRAS2
37	hsa04010	RRAS2	BRAF
38	hsa04010	RRAS2	RAF1
39	hsa04010	BRAF	MAP2K1
40	hsa04010	BRAF	MAP2K2
41	hsa04010	RAF1	MAP2K1
42	hsa04010	RAF1	MAP2K2
43	hsa04010	MAP2K1	MAPK1
44	hsa04010	MAP2K2	MAPK1
45	hsa04010	MAPK1	MAPT
46	hsa04010	MAPK1	STMN1
47	hsa04010	MAPK1	PLA2G4B
48	hsa04010	MAPK1	MKNK2
49	hsa04010	MAPK1	RPS6KA6
50	hsa04010	MAPK1	ELK1
51	hsa04010	MAPK1	ELK4
52	hsa04010	MKNK2	ATF4
53	hsa04010	RPS6KA6	ATF4
54	hsa04010	MAPK1	MYC
55	hsa04010	RAC1	MAP3K1
56	hsa04010	RAC1	PAK1
57	hsa04010	CASP3	STK3
58	hsa04010	TRAF2	MAP4K2
59	hsa04010	TRAF2	MAP3K5
60	hsa04010	TRAF2	MAP3K1
61	hsa04010	DAXX	MAP3K5
62	hsa04010	GADD45G	MAP3K4
63	hsa04010	PAK1	MAP3K2
64	hsa04010	MAP4K1	MAP3K11
65	hsa04010	MAP4K4	MAP3K1
66	hsa04010	MAP4K3	MAP3K1
67	hsa04010	MAP3K12	MAP2K7
68	hsa04010	MAP3K13	MAP2K7
69	hsa04010	MAP3K20	MAP2K7
70	hsa04010	MAP3K5	MAP2K3
71	hsa04010	MAP3K5	MAP2K6
72	hsa04010	MAP3K7	MAP3K14
