pathway	gene1	gene2
hsa04010	GNA12	RASA2
hsa04010	RAPGEF2	RRAS2
hsa04010	RASGRF1	RRAS2
hsa04010	RASGRP1	RRAS2
hsa04010	RAP1A	BRAF
hsa04010	TNF	TNFRSF1A
hsa04010	IL1A	IL1R1
hsa04010	FASLG	FAS
hsa04010	TGFB1	TGFBR1
hsa04010	FAS	DAXX
hsa04010	TGFBR1	DAXX
hsa04010	GRB2	CSF1R
hsa04010	SOS1	GRB2
hsa04010	TAB2	TRAF6
hsa04010	ECSIT	TRAF6
hsa04010	SRF	ELK1
hsa04010	SRF	ELK4
hsa04010	LAMTOR3	MAP2K1
hsa04010	LAMTOR3	MAP2K2
hsa04010	MAPK1	LAMTOR3
hsa04010	MAPK8IP2	MAPK8
hsa04010	MAPK8IP2	MAP2K7
hsa04010	MAPK8IP2	MAP3K11
hsa04010	MAPK8IP2	MAP4K1
hsa04010	MAPK8	MAPK8IP3
hsa04010	MAP2K4	MAPK8IP3
hsa04010	MAP2K7	MAPK8IP3
hsa04010	MAPK8IP3	MAP3K1
hsa04010	MAP3K11	MAPK8IP3
hsa04010	MAPK8	CRK
hsa04010	MAP2K4	CRK
hsa04010	MAP2K4	FLNA
hsa04010	MAP2K4	ARRB1
hsa04010	PRKACA	RAP1A
hsa04010	PRKCA	RRAS2
hsa04010	PRKCA	RAF1
hsa04010	SOS1	RRAS2
hsa04010	RRAS2	BRAF
hsa04010	RRAS2	RAF1
hsa04010	BRAF	MAP2K1
hsa04010	BRAF	MAP2K2
hsa04010	RAF1	MAP2K1
hsa04010	RAF1	MAP2K2
hsa04010	MAP2K1	MAPK1
hsa04010	MAP2K2	MAPK1
hsa04010	MAPK1	MAPT
hsa04010	MAPK1	STMN1
hsa04010	MAPK1	PLA2G4B
hsa04010	MAPK1	MKNK2
hsa04010	MAPK1	RPS6KA6
hsa04010	MAPK1	ELK1
hsa04010	MAPK1	ELK4
hsa04010	MKNK2	ATF4
hsa04010	RPS6KA6	ATF4
hsa04010	MAPK1	MYC
hsa04010	RAC1	MAP3K1
hsa04010	RAC1	PAK1
hsa04010	CASP3	STK3
hsa04010	TRAF2	MAP4K2
hsa04010	TRAF2	MAP3K5
hsa04010	TRAF2	MAP3K1
hsa04010	DAXX	MAP3K5
hsa04010	GADD45G	MAP3K4
hsa04010	PAK1	MAP3K2
hsa04010	MAP4K1	MAP3K11
hsa04010	MAP4K4	MAP3K1
hsa04010	MAP4K3	MAP3K1
hsa04010	MAP3K12	MAP2K7
hsa04010	MAP3K13	MAP2K7
hsa04010	MAP3K20	MAP2K7
hsa04010	MAP3K5	MAP2K3
hsa04010	MAP3K5	MAP2K6
hsa04010	MAP3K7	MAP3K14
hsa04010	MAP3K7	CHUK
hsa04010	MAP3K7	MAP2K3
hsa04010	MAP3K7	MAP2K6
hsa04010	MAP3K7	NLK
hsa04010	MAP3K6	MAP2K3
