ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
203282_at	1,4-alpha-glucan branching enzyme 1(GBE1)	Homo sapiens			Carbohydrate transport and metabolism,	GO:0005977~glycogen metabolic process,GO:0005978~glycogen biosynthetic process,GO:0006091~generation of precursor metabolites and energy,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003844~1,4-alpha-glucan branching enzyme activity,GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0030246~carbohydrate binding,GO:0043169~cation binding,	IPR004193:Glycoside hydrolase, family 13, N-terminal,IPR006047:Glycosyl hydrolase, family 13, catalytic domain,IPR006048:Alpha-amylase, C-terminal all beta,IPR006407:1,4-alpha-glucan-branching enzyme,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013781:Glycoside hydrolase, catalytic domain,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR015902:Glycoside hydrolase, family 13,IPR017853:Glycoside hydrolase, superfamily,	hsa00500:Starch and sucrose metabolism,hsa01100:Metabolic pathways,	232500~Glycogen storage disease IV,263570~Polyglucosan body disease, adult form,	PIRSF000463:1,4-alpha-glucan branching enzyme,	SM00642:Aamy,	3D-structure,Acetylation,Complete proteome,Disease mutation,Glycogen biosynthesis,Glycogen storage disease,Glycosyltransferase,Neuropathy,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transferase,	chain:1,4-alpha-glucan-branching enzyme,modified residue,sequence conflict,sequence variant,
215535_s_at, 32836_at	1-acylglycerol-3-phosphate O-acyltransferase 1(AGPAT1)	Homo sapiens				GO:0001819~positive regulation of cytokine production,GO:0001961~positive regulation of cytokine-mediated signaling pathway,GO:0006644~phospholipid metabolic process,GO:0006654~phosphatidic acid biosynthetic process,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,GO:0031325~positive regulation of cellular metabolic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0005515~protein binding,	IPR002123:Phospholipid/glycerol acyltransferase,IPR004552:1-acyl-sn-glycerol-3-phosphate acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,hsa04975:Fat digestion and absorption,			SM00563:PlsC,	Acyltransferase,Complete proteome,Endoplasmic reticulum,Lipid biosynthesis,Lipid metabolism,Membrane,Phospholipid biosynthesis,Phospholipid metabolism,Polymorphism,Reference proteome,Signal,Transferase,Transmembrane,Transmembrane helix,	chain:1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,sequence variant,short sequence motif:HXXXXD motif,transmembrane region,
210678_s_at, 32837_at	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)	Homo sapiens				GO:0001819~positive regulation of cytokine production,GO:0001961~positive regulation of cytokine-mediated signaling pathway,GO:0006644~phospholipid metabolic process,GO:0006654~phosphatidic acid biosynthetic process,GO:0008152~metabolic process,GO:0008544~epidermis development,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0016746~transferase activity, transferring acyl groups,	IPR002123:Phospholipid/glycerol acyltransferase,IPR004552:1-acyl-sn-glycerol-3-phosphate acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,hsa04975:Fat digestion and absorption,	608594~Lipodystrophy, congenital generalized, type 1,		SM00563:PlsC,	Acyltransferase,Alternative splicing,Complete proteome,Congenital generalized lipodystrophy,Diabetes mellitus,Disease mutation,Endoplasmic reticulum,Lipid biosynthesis,Lipid metabolism,Membrane,Phospholipid biosynthesis,Phospholipid metabolism,Reference proteome,Signal,Transferase,Transmembrane,Transmembrane helix,	chain:1-acyl-sn-glycerol-3-phosphate acyltransferase beta,modified residue,sequence conflict,sequence variant,short sequence motif:HXXXXD motif,splice variant,transmembrane region,
219723_x_at	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)	Homo sapiens				GO:0006654~phosphatidic acid biosynthetic process,GO:0008152~metabolic process,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,	GO:0000139~Golgi membrane,GO:0005635~nuclear envelope,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0016746~transferase activity, transferring acyl groups,	IPR002123:Phospholipid/glycerol acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,			SM00563:PlsC,	Acyltransferase,Alternative splicing,Complete proteome,Endoplasmic reticulum,Lipid biosynthesis,Lipid metabolism,Membrane,Nucleus,Phospholipid biosynthesis,Phospholipid metabolism,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:1-acyl-sn-glycerol-3-phosphate acyltransferase gamma,sequence conflict,short sequence motif:HXXXXD motif,splice variant,transmembrane region,
219693_at	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)	Homo sapiens				GO:0006654~phosphatidic acid biosynthetic process,GO:0008152~metabolic process,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0005515~protein binding,GO:0016746~transferase activity, transferring acyl groups,	IPR002123:Phospholipid/glycerol acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,			SM00563:PlsC,	Acyltransferase,Alternative splicing,Complete proteome,Lipid biosynthesis,Lipid metabolism,Membrane,Phospholipid biosynthesis,Phospholipid metabolism,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:1-acyl-sn-glycerol-3-phosphate acyltransferase delta,short sequence motif:HXXXXD motif,transmembrane region,
218096_at	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)	Homo sapiens				GO:0002244~hematopoietic progenitor cell differentiation,GO:0006639~acylglycerol metabolic process,GO:0006654~phosphatidic acid biosynthetic process,GO:0008152~metabolic process,GO:0008654~phospholipid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,	GO:0005635~nuclear envelope,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0003841~1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0005515~protein binding,GO:0016746~transferase activity, transferring acyl groups,	IPR002123:Phospholipid/glycerol acyltransferase,	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,			SM00563:PlsC,	Acyltransferase,Complete proteome,Endoplasmic reticulum,Lipid biosynthesis,Lipid metabolism,Membrane,Mitochondrion,Nucleus,Phospholipid biosynthesis,Phospholipid metabolism,Polymorphism,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon,sequence conflict,sequence variant,short sequence motif:HXXXXD motif,transmembrane region,
208912_s_at	2',3'-cyclic nucleotide 3' phosphodiesterase(CNP)	Homo sapiens				GO:0000226~microtubule cytoskeleton organization,GO:0007268~chemical synaptic transmission,GO:0007409~axonogenesis,GO:0007568~aging,GO:0008344~adult locomotory behavior,GO:0009214~cyclic nucleotide catabolic process,GO:0009636~response to toxic substance,GO:0021762~substantia nigra development,GO:0030900~forebrain development,GO:0032496~response to lipopolysaccharide,GO:0046902~regulation of mitochondrial membrane permeability,GO:0048709~oligodendrocyte differentiation,	GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005741~mitochondrial outer membrane,GO:0005743~mitochondrial inner membrane,GO:0005874~microtubule,GO:0005886~plasma membrane,GO:0005902~microvillus,GO:0016020~membrane,GO:0031143~pseudopodium,GO:0035748~myelin sheath abaxonal region,GO:0035749~myelin sheath adaxonal region,GO:0042470~melanosome,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0004113~2',3'-cyclic-nucleotide 3'-phosphodiesterase activity,GO:0030551~cyclic nucleotide binding,	IPR008431:Cyclic nucleotide phosphodiesterase,IPR009097:RNA ligase/cyclic nucleotide phosphodiesterase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			PIRSF000970:2',3'-cyclic-nucleotide 3'-phosphodiesterase,		3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Hydrolase,Lipoprotein,Membrane,Methylation,Phosphoprotein,Polymorphism,Prenylation,Proteomics identification,Reference proteome,RNA-binding,	active site:Proton acceptor,active site:Proton donor,binding site:Substrate,chain:2',3'-cyclic-nucleotide 3'- phosphodiesterase,helix,modified residue,sequence variant,splice variant,strand,turn,
202869_at, 205552_s_at	2'-5'-oligoadenylate synthetase 1(OAS1)	Homo sapiens				GO:0006006~glucose metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006955~immune response,GO:0009615~response to virus,GO:0035457~cellular response to interferon-alpha,GO:0042593~glucose homeostasis,GO:0045071~negative regulation of viral genome replication,GO:0051259~protein oligomerization,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:0060700~regulation of ribonuclease activity,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,	GO:0001730~2'-5'-oligoadenylate synthetase activity,GO:0003725~double-stranded RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016740~transferase activity,GO:0016779~nucleotidyltransferase activity,GO:0046872~metal ion binding,	IPR002934:Nucleotidyl transferase domain,IPR006116:2-5-oligoadenylate synthetase, N-terminal,IPR006117:2-5-oligoadenylate synthetase, conserved site,IPR018952:2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal,IPR026774:2'-5'-oligoadenylate synthase,	hsa05160:Hepatitis C,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,	222100~Diabetes mellitus, type 1, susceptibility to,Viral infection, susceptibility to~Viral infection, susceptibility to,			3D-structure,Alternative splicing,Antiviral defense,ATP-binding,Complete proteome,Cytoplasm,Endoplasmic reticulum,Immunity,Innate immunity,Magnesium,Metal-binding,Microsome,Mitochondrion,Nucleotide-binding,Nucleotidyltransferase,Nucleus,Polymorphism,Proteomics identification,Reference proteome,RNA-binding,Secreted,Transferase,	chain:2'-5'-oligoadenylate synthetase 1,mutagenesis site,region of interest:Necessary for binding to dsRNA,sequence conflict,sequence variant,splice variant,
206553_at, 204972_at	2'-5'-oligoadenylate synthetase 2(OAS2)	Homo sapiens				GO:0006139~nucleobase-containing compound metabolic process,GO:0006164~purine nucleotide biosynthetic process,GO:0006401~RNA catabolic process,GO:0006486~protein glycosylation,GO:0006955~immune response,GO:0009615~response to virus,GO:0018377~protein myristoylation,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,	GO:0001730~2'-5'-oligoadenylate synthetase activity,GO:0003725~double-stranded RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008270~zinc ion binding,GO:0016740~transferase activity,GO:0016779~nucleotidyltransferase activity,GO:0046872~metal ion binding,	IPR002934:Nucleotidyl transferase domain,IPR006116:2-5-oligoadenylate synthetase, N-terminal,IPR006117:2-5-oligoadenylate synthetase, conserved site,IPR018952:2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal,IPR026774:2'-5'-oligoadenylate synthase,	hsa05160:Hepatitis C,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,				Acetylation,Alternative splicing,Antiviral defense,ATP-binding,Complete proteome,Cytoplasm,Direct protein sequencing,Endoplasmic reticulum,Glycoprotein,Immunity,Innate immunity,Lipoprotein,Magnesium,Metal-binding,Microsome,Mitochondrion,Myristate,Nucleotide-binding,Nucleotidyltransferase,Nucleus,Proteomics identification,Reference proteome,Repeat,RNA-binding,Transferase,	chain:2'-5'-oligoadenylate synthetase 2,compositionally biased region:Pro-rich (linker),lipid moiety-binding region:N-myristoyl glycine,modified residue,mutagenesis site,region of interest:OAS domain 1,region of interest:OAS domain 2,sequence conflict,splice variant,
218400_at	2'-5'-oligoadenylate synthetase 3(OAS3)	Homo sapiens				GO:0006139~nucleobase-containing compound metabolic process,GO:0006955~immune response,GO:0009615~response to virus,GO:0045071~negative regulation of viral genome replication,GO:0051607~defense response to virus,GO:0060333~interferon-gamma-mediated signaling pathway,GO:0060337~type I interferon signaling pathway,GO:0060700~regulation of ribonuclease activity,	GO:0005615~extracellular space,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0001730~2'-5'-oligoadenylate synthetase activity,GO:0003725~double-stranded RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016740~transferase activity,GO:0016779~nucleotidyltransferase activity,GO:0046872~metal ion binding,	IPR002934:Nucleotidyl transferase domain,IPR006116:2-5-oligoadenylate synthetase, N-terminal,IPR006117:2-5-oligoadenylate synthetase, conserved site,IPR018952:2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal,IPR026774:2'-5'-oligoadenylate synthase,	hsa05160:Hepatitis C,hsa05162:Measles,hsa05164:Influenza A,hsa05168:Herpes simplex infection,				3D-structure,Acetylation,Antiviral defense,ATP-binding,Complete proteome,Cytoplasm,Direct protein sequencing,Immunity,Innate immunity,Magnesium,Membrane,Metal-binding,Nucleotide-binding,Nucleotidyltransferase,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-binding,Transferase,Transmembrane,Transmembrane helix,	chain:2'-5'-oligoadenylate synthetase 3,modified residue,region of interest:Linker,region of interest:OAS domain 1,region of interest:OAS domain 2,region of interest:OAS domain 3,sequence conflict,sequence variant,
